product,quality,bytes,ship_px,psnr
crop context q40,40,1492,105.000192,37.922375295651285
crop context q60,60,1863,105.000192,39.45083541134061
crop context q80,80,2583,105.000192,42.48712579424469
crop context q95,95,4906,105.000192,46.82612573591986
crop context jp2,-1,12601,105.000192,49.6451249284609
crop wake q20,20,1567,105.000192,35.50419898190074
crop wake q40,40,2253,105.000192,38.47911619230908
crop wake q60,60,3079,105.000192,40.1831939517374
crop wake q80,80,4650,105.000192,43.30689824554955
crop wake q95,95,9630,105.000192,47.72478519801645
crop wake jp2,-1,28799,105.000192,50.481246291230384
thumbnail 96px,60,2235,,
whole tile q40,40,65977,,35.29037511481616
whole tile q60,60,80924,,37.49943334685857
crop tight q20,20,1025,67.00032,31.084094538447317
crop tight q40,40,1216,67.00032,34.55704843686882
crop tight q60,60,1368,67.00032,36.751697550869984
crop tight q80,80,1685,67.00032,40.05712546084528
crop tight q95,95,2645,67.00032,45.59101357648625
crop tight jp2,-1,3271,67.00032,40.08180287158484
crop context q20,20,1295,67.00032,31.051029894596915
crop context q40,40,1602,67.00032,34.88620407779384
crop context q60,60,1856,67.00032,37.06258038290424
crop context q80,80,2351,67.00032,40.04857934177744
crop context q95,95,3974,67.00032,45.96298798424524
crop context jp2,-1,5848,67.00032,41.28810505831215
crop wake q20,20,2122,67.00032,31.09974113539579
crop wake q40,40,2770,67.00032,34.89049970141755
crop wake q60,60,3256,67.00032,37.24937205883779
crop wake q80,80,4540,67.00032,43.3263430127025
crop wake q95,95,7245,67.00032,56.42715283208997
crop wake jp2,-1,12466,67.00032,41.87412200352944
thumbnail 96px,60,887,,
whole tile q40,40,20728,,39.59096591839237
whole tile q60,60,28885,,41.63295200042406
crop tight q20,20,2406,221.999616,35.58194361397388
crop tight q40,40,3658,221.999616,37.925949808355945
crop tight q60,60,5058,221.999616,39.79005026425767
crop tight q80,80,7681,221.999616,42.512127904804615
crop tight q95,95,16081,221.999616,46.94478688181738
crop tight jp2,-1,44822,221.999616,49.33060051518694
crop context q20,20,3130,221.999616,36.48187189126031
crop context q40,40,5108,221.999616,38.6246140709867
crop context q60,60,7442,221.999616,40.63829101856011
crop context q80,80,11689,221.999616,44.1136125520711
crop context q95,95,23487,221.999616,49.18594400075672
crop context jp2,-1,76116,221.999616,50.05420504247384
crop wake q20,20,5155,221.999616,37.2771086572436
